Year,China
1961-01-01,49.557050
1962-01-01,46.685179
1963-01-01,50.097303
1964-01-01,59.062255
1965-01-01,69.709153
1966-01-01,75.879435
1967-01-01,72.057029
1968-01-01,69.993498
1969-01-01,78.718820
1970-01-01,91.506211
1971-01-01,98.562024
1972-01-01,112.159814
1973-01-01,136.769878
1974-01-01,142.254742
1975-01-01,161.162492
1976-01-01,151.627687
1977-01-01,172.349014
1978-01-01,148.382112
1979-01-01,176.856525
1980-01-01,189.649992
1981-01-01,194.369049
1982-01-01,203.549627
1983-01-01,228.950201
1984-01-01,258.082147
1985-01-01,307.479586
1986-01-01,298.805793
1987-01-01,271.349773
1988-01-01,310.722214
1989-01-01,345.957486
1990-01-01,358.973230
1991-01-01,381.454704
1992-01-01,424.934066
1993-01-01,442.874596
1994-01-01,562.261130
1995-01-01,732.032045
1996-01-01,860.844098
1997-01-01,958.159425
1998-01-01,1025.276902
1999-01-01,1089.447109
2000-01-01,1205.260678
2001-01-01,1332.234720
2002-01-01,1461.906488
2003-01-01,1649.928718
2004-01-01,1941.745602
2005-01-01,2268.598904
2006-01-01,2729.784032
2007-01-01,3523.094315
2008-01-01,4558.431073
2009-01-01,5059.419738
2010-01-01,6039.658508
2011-01-01,7492.432098
2012-01-01,8461.623163
2013-01-01,9490.602600
2014-01-01,10351.111762
2015-01-01,10866.443998
