Edition	Bronze	Gold	Silver	Grand Total	City	Country
1896	40	64	47	151	Athens	Greece
1900	142	178	192	512	Paris	France
1904	123	188	159	470	St.Louis	UnitedStates
1908	211	311	282	804	London	UnitedKingdom
1912	284	301	300	885	Stockholm	Sweden
1920	355	497	446	1298	Antwerp	Belgium
1924	285	301	298	884	Paris	France
1928	242	229	239	710	Amsterdam	Netherlands
1932	196	213	206	615	LosAngeles	UnitedStates
1936	282	299	294	875	Berlin	Germany
1948	268	276	270	814	London	UnitedKingdom
1952	299	300	290	889	Helsinki	Finland
1956	297	298	290	885	Melbourne	Australia
1960	301	295	286	882	Rome	Italy
1964	343	330	337	1010	Tokyo	Japan
1968	351	341	339	1031	MexicoCity	Mexico
1972	412	387	386	1185	Munich	WestGermany(nowGermany)
1976	447	429	429	1305	Montreal	Canada
1980	472	460	455	1387	Moscow	U.S.S.R.(nowRussia)
1984	500	483	476	1459	LosAngeles	UnitedStates
1988	535	506	505	1546	Seoul	SouthKorea
1992	596	558	551	1705	Barcelona	Spain
1996	634	615	610	1859	Atlanta	UnitedStates
2000	685	663	667	2015	Sydney	Australia
2004	679	659	660	1998	Athens	Greece
2008	710	669	663	2042	Beijing	China
